iteracija,u1,u2,vrijednost
162,511.5926786898785,311.29893723798824,-6.313385279406015e+307
163,511.5926786898785,311.29893723798824,-6.313385279406015e+307
164,511.5926786898785,311.29893723798824,-6.313385279406015e+307
165,511.5926786898785,311.29893723798824,-6.313385279406015e+307
166,511.5926786898785,311.29893723798824,-6.313385279406015e+307
167,511.5926786898785,311.29893723798824,-6.313385279406015e+307
168,511.5926786898785,311.29893723798824,-6.313385279406015e+307
169,511.5926786898785,311.29893723798824,-6.313385279406015e+307
170,511.5926786898785,311.29893723798824,-6.313385279406015e+307
171,511.5926786898785,311.29893723798824,-6.313385279406015e+307
172,511.5926786898785,311.29893723798824,-6.313385279406015e+307
173,511.5926786898785,311.29893723798824,-6.313385279406015e+307
174,511.5926786898785,311.29893723798824,-6.313385279406015e+307
175,511.5926786898785,311.29893723798824,-6.313385279406015e+307
176,511.5926786898785,311.29893723798824,-6.313385279406015e+307
177,511.5926786898785,311.29893723798824,-6.313385279406015e+307
178,511.5926786898785,311.29893723798824,-6.313385279406015e+307
179,511.5926786898785,311.29893723798824,-6.313385279406015e+307
180,511.5926786898785,311.29893723798824,-6.313385279406015e+307
181,511.5926786898785,311.29893723798824,-6.313385279406015e+307
182,511.5926786898785,311.29893723798824,-6.313385279406015e+307
183,511.5926786898785,311.29893723798824,-6.313385279406015e+307
184,511.5926786898785,311.29893723798824,-6.313385279406015e+307
185,511.5926786898785,311.29893723798824,-6.313385279406015e+307
186,511.5926786898785,311.29893723798824,-6.313385279406015e+307
187,511.5926786898785,311.29893723798824,-6.313385279406015e+307
188,511.5926786898785,311.29893723798824,-6.313385279406015e+307
189,511.5926786898785,311.29893723798824,-6.313385279406015e+307
190,511.5926786898785,311.29893723798824,-6.313385279406015e+307
191,511.5926786898785,311.29893723798824,-6.313385279406015e+307
192,511.5926786898785,311.29893723798824,-6.313385279406015e+307
193,511.5926786898785,311.29893723798824,-6.313385279406015e+307
194,511.5926786898785,311.29893723798824,-6.313385279406015e+307
195,511.5926786898785,311.29893723798824,-6.313385279406015e+307
196,511.5926786898785,311.29893723798824,-6.313385279406015e+307
197,511.5926786898785,311.29893723798824,-6.313385279406015e+307
198,511.5926786898785,311.29893723798824,-6.313385279406015e+307
199,511.5926786898785,311.29893723798824,-6.313385279406015e+307
200,511.5926786898785,311.29893723798824,-6.313385279406015e+307
201,511.5926786898785,311.29893723798824,-6.313385279406015e+307
202,511.5926786898785,311.29893723798824,-6.313385279406015e+307
203,511.5926786898785,311.29893723798824,-6.313385279406015e+307
204,511.5926786898785,311.29893723798824,-6.313385279406015e+307
205,511.5926786898785,311.29893723798824,-6.313385279406015e+307
206,511.5926786898785,311.29893723798824,-6.313385279406015e+307
